variable,day_night,n_initial,n_kept,n_removed,iterations,match_r,match_p,match_slope,buckets,bucket_r,bucket_p,bucket_slope
temp_c,day,27,21,6,2,-0.17188320450699082,0.45626682393463197,-0.06767389448980766,6,-0.39638582721206544,0.4365616714551567,-0.10751582927323772
temp_c,night,138,104,34,5,0.09900697260195236,0.3173428594737229,0.04372376251184464,10,0.34069178156069907,0.3353822726558117,0.05349072209469736
humidity_pct,day,27,25,2,2,0.05754228343220214,0.7846934185673866,0.003513299596784801,6,0.04070577995823974,0.9389750539978446,0.0012069400790583715
humidity_pct,night,138,118,20,6,-0.03915406894994616,0.6737872836726255,-0.0022501173693467804,10,-0.30715824451797685,0.38797549238599094,-0.002800352272275256
rain_ema_7d,day,27,21,6,2,-0.31161357071818574,0.1691073026871271,-1.2023389966828797,6,-0.5085546181755767,0.3029312536914348,-1.081205774960328
rain_ema_7d,night,138,32,106,23,-0.4814327834326012,0.005275625968183544,-23.469710568900126,10,-0.7004517587648852,0.02407549877369049,-22.93217772462123
rain_ema_30d,day,27,19,8,6,-0.24433920915256702,0.3133908956422539,-1.1932534936497685,6,-0.3605515253457782,0.4826080928497454,-0.7427486493565152
rain_ema_30d,night,138,68,70,15,-0.006754355035974505,0.956404704962283,-0.046088802615015904,10,-0.08101378036475797,0.8239409029344699,-0.17870799929429393
