variable,day_night,n_initial,n_kept,n_removed,iterations,match_r,match_p,match_slope,buckets,bucket_r,bucket_p,bucket_slope
temp_c,day,62,30,32,6,0.0013330154647693746,0.9944220564513563,0.001094447760762896,6,0.12246479917319099,0.8172211419317651,0.04084253688339423
temp_c,night,305,187,118,19,0.07040506571129558,0.3383108839472527,0.06477045837496523,10,0.5835805115202235,0.0765432438972129,0.07140113164721358
humidity_pct,day,62,52,10,6,-0.025627271713002914,0.8568871450863403,-0.0012065053421566583,6,-0.033371051828145294,0.9499620037116197,-0.0003777892028698189
humidity_pct,night,305,129,176,26,0.053031250844114655,0.5505896064471865,0.013142910135359738,10,0.18156892319415405,0.6156550176838825,0.010867552869533283
rain_ema_7d,day,62,25,37,12,0.01581250785016787,0.9401993825193338,0.1991660433714861,6,0.022756751249118266,0.9658707656426058,0.1338368660101982
rain_ema_7d,night,305,128,177,15,0.11736191839766448,0.18705629919907657,2.278301474111567,10,0.35555185281673607,0.3133203442482534,1.8452184013194317
rain_ema_30d,day,62,31,31,10,-0.04380717070328481,0.8149873604354909,-0.3597164816872893,6,-0.0892101107461734,0.8665398207097696,-0.2845807892061162
rain_ema_30d,night,305,171,134,10,0.17812743102673184,0.019758291449640412,1.2285954692232302,10,0.4513107722555035,0.1904582202880412,1.1462807576635532
