chart,variable,n_initial,n_kept,n_removed,iterations,match_r,match_p,match_slope,buckets,bucket_r,bucket_p
temp_pooled,temp_c_anom_cohort,367,214,153.0,17,0.044766220551401635,0.5148112325795152,0.04318717038056613,10,0.47448067477271383,0.1658718200640536
temp_pooled,temp_c_anom_venue_cohort,367,219,148.0,12,0.09793061036509547,0.14862054078705353,0.10596350096861429,10,0.5843837629791659,0.0760404540804298
humidity_pooled,humidity_pct_anom_cohort,367,152,215.0,29,-0.03626907753910246,0.6573245938821075,-0.008602875016604276,10,-0.18017287346306346,0.6184188588959771
humidity_pooled,humidity_pct_anom_venue_cohort,367,253,114.0,11,-0.05317505458800042,0.39967116159005445,-0.00854613629516916,10,-0.2564890740826283,0.4744069277026847
temp_split,day,62,30,,8,0.17272111845935412,0.36138974511256977,,6,0.8626699829440082,0.026994310342477984
temp_split,night,305,207,,9,0.11302263526349648,0.10491787382568149,,10,0.6080556103075376,0.062172657947466646
humidity_split,day,62,32,,11,-0.0749461901840264,0.6835187272880776,,6,-0.33563893590511024,0.5154470457858235
humidity_split,night,305,222,,6,-0.10681744027514159,0.11248923242737618,,10,-0.547288614313916,0.10154744051604549
